ItemID,Year,Quantity,VehID
512319,2006,108416,2006VolkswagenPassat-512319-2006
512320,2006,355838,2006HondaOdyssey-512320-2006
512321,2006,23002,2006AcuraRL-512321-2006
512322,2006,633276,2006HondaCivic-512322-2006
512324,2006,69470,2006HyundaiAccent-512324-2006
512324,2006,56776,2006KiaRio-512324-2006
512325,2006,56776,2006KiaRio-512325-2006
512327,2006,76070,2006AcuraTSX-512327-2006
512327,2006,708882,2006HondaAccord-512327-2006
512329,2006,158250,2006SciontC-512329-2006
512336,2006,16080,2006AudiA3-512336-2006
512336,2006,34178,2006VolkswagenGolf-512336-2006
512339,2006,46334,2006MitsubishiLancer-512339-2006
512339,2006,22986,2006MitsubishiOutlander-512339-2006
512341,2006,53666,2006HyundaiAzera-512341-2006
512347,2006,188874,2006Mazda3-512347-2006
512347,2006,34218,2006Mazda5-512347-2006
512348,2006,188874,2006Mazda3-512348-2006
512357,2006,142144,2006BuickLaCrosse-512357-2006
512357,2006,579736,2006ChevroletImpala-512357-2006
512357,2006,217268,2006PontiacGrand Prix-512357-2006
512359,2006,51352,2006CadillacSTS-512359-2006
512363,2006,162724,2006NissanMurano-512363-2006
512370,2006,140616,2006ToyotaYaris-512370-2006
512371,2006,140616,2006ToyotaYaris-512371-2006
512372,2006,304094,2006ToyotaRAV4-512372-2006
512374,2006,304094,2006ToyotaRAV4-512374-2006
512390,2006,51316,2006InfinitiM45-512390-2006
512395,2006,66400,2006VolvoXC90-512395-2006
512423,2006,162724,2006NissanMurano-512423-2006
