Date,ItemID,Quantity
2015-01-26,512308,20
2015-01-26,512308,20
2015-01-26,512308,20
2015-01-26,515098,60
2015-01-26,512398,52
2015-01-26,512398,52
2015-01-26,512372,5
2015-01-26,515098,80
2015-01-26,515098,80
2015-01-26,515098,80
2015-01-27,513287,200
2015-01-27,513287,200
2015-01-27,513287,200
2015-01-27,513287,200
2015-01-27,513188,21
2015-01-27,513287,200
2015-01-28,513188,20
2015-01-28,515069,28
2015-01-28,515069,28
2015-01-28,512338,30
2015-01-28,512338,30
2015-01-28,512338,30
2015-01-29,510091,10
2015-01-29,513294,180
2015-01-29,513294,175
2015-01-29,541010,336
2015-01-29,541010,264
2015-01-29,512418,50
2015-01-29,512302,100
2015-01-29,513256,180
2015-01-29,515101,100
2015-01-29,515101,100
2015-01-29,515125,125
2015-01-29,512265,48
2015-01-29,512341,48
2015-01-29,513256,3
2015-01-29,512309,47
2015-01-29,515101,25
2015-01-29,515101,30
2015-01-29,515125,25
2015-01-29,512319,25
2015-01-29,516014,100
2015-01-29,541009,13
2015-01-29,513301,100
2015-01-29,541009,62
2015-01-29,512173,50
2015-01-29,513307,50
2015-01-29,512288,125
2015-01-29,515043,150
2015-01-29,515043,150
2015-01-29,512256,50
2015-01-29,513155,50
2015-01-29,513084,48
2015-01-29,512257,50
2015-01-29,512258,50
2015-01-29,513212,120
2015-01-29,512223,150
2015-01-29,512229,91
2015-01-29,513204,9
2015-01-29,513205,21
2015-01-29,515073,10
2015-01-29,512375,50
2015-01-29,513206,9
2015-01-29,515042,150
2015-01-29,512223,90
2015-01-29,512282,50
2015-01-29,512275,9
2015-01-29,515095,100
2015-01-29,515094,50
2015-01-29,515043,150
2015-01-29,515043,150
2015-01-29,HA590419,100
2015-01-29,HA590419,100
2015-01-29,513189,150
2015-01-29,BF930406,100
2015-01-29,BF930406,100
2015-01-29,BF930406,100
2015-01-29,BF930406,100
2015-01-29,510017,6
2015-01-29,510017,6
2015-01-29,515113,40
2015-01-29,515113,40
2015-01-29,515113,40
2015-01-29,515113,40
2015-01-29,515113,40
2015-01-30,515113,20
2015-01-30,541002,20
2015-01-30,541002,20
2015-01-30,515107,10
2015-01-30,515107,10
2015-01-30,515107,10
2015-01-30,515107,10
2015-01-30,512248,50
2015-01-30,512248,50
2015-01-30,510004,7
2015-01-30,510004,7
2015-02-02,515071,100
2015-02-02,515113,80
2015-02-02,515071,75
2015-02-02,512309,13
2015-02-02,515113,120
2015-02-02,515113,115
2015-02-02,515113,120
2015-02-02,515113,120
2015-02-02,515113,120
2015-02-02,515113,120
2015-02-02,513121HD,4
2015-02-02,513121HD,4
2015-02-02,HA590362,21
2015-02-02,HA590362,21
2015-02-02,HA590362,21
2015-02-02,HA590362,21
2015-02-02,513121HD,4
2015-02-02,515125,35
2015-02-02,515125,35
2015-02-02,515125,35
2015-02-02,515125,35
2015-02-02,515125,35
2015-02-02,515125,35
2015-02-02,516007,56
2015-02-02,513106,140
