ItemID,Date,Price
515032,10/1/2012,16.9
515036,10/1/2012,23.3
515041,10/1/2012,31.8
515046,10/1/2012,46
515054,10/1/2012,25.5
515059,10/1/2012,36.75
515061,10/1/2012,38.69
513203,10/1/2012,19.2
515111,10/1/2012,49.68
512284,10/1/2012,31
513194,10/1/2012,17.7
513229,10/1/2012,30.3
513204,10/1/2012,28.67
512022,10/1/2012,10.5
513214,10/1/2012,23.5
HA590243,10/1/2012,31.5
513205,10/1/2012,19.35
515052,10/1/2012,25.25
512223,10/1/2012,26.78
512243,10/1/2012,33.8
515101,10/1/2012,53.82
513121,10/1/2012,18.9
512303,10/1/2012,12.2
HA590046,10/1/2012,28.6
515084,10/1/2012,20.48
513263,10/1/2012,28.8
512248,10/1/2012,21.63
513179,10/1/2012,18.9
515081,10/1/2012,78
513228,10/1/2012,22.8
512203,10/1/2012,9.85
515079,10/1/2012,44.77
518515,10/1/2012,14.15
513236,10/1/2012,20.36
513206,10/1/2012,23.5
513234,10/1/2012,27
515098,10/1/2012,47.8
515086,10/1/2012,34.5
515066,10/1/2012,42.2
HA590252,10/1/2012,33.5
512373,10/1/2012,31.8
515122,10/1/2012,49.5
513277,10/1/2012,42.5
512267,10/1/2012,17.7
513175,10/1/2012,16.25
513191,10/1/2012,20
515080,10/1/2012,47.5
513268,10/1/2012,28.2
512020,10/1/2012,10.2
512078,10/1/2012,18.9
512179,10/1/2012,11.36
512207,10/1/2012,21.2
512210,10/1/2012,13.8
512237,10/1/2012,25.2
513017K,10/1/2012,12.8
513089,10/1/2012,14.8
513098,10/1/2012,7.8
513122,10/1/2012,15.2
513137,10/1/2012,17.7
513138,10/1/2012,13.8
513158,10/1/2012,17.8
513159,10/1/2012,18.9
513190,10/1/2012,17.6
513193,10/1/2012,13.98
515003,10/1/2012,20
515013,10/1/2012,21
515036,10/1/2012,23.3
515054,10/1/2012,25.5
515063,10/1/2012,38.69
515072,10/1/2012,30
521000,10/1/2012,15.2
512246,10/1/2012,26.16
515040,10/1/2012,11.76
515088,10/1/2012,34.65
512244,10/1/2012,22.05
513214,10/1/2012,23.5
515096,10/1/2012,38.6
512273,10/1/2012,32.8
512310,10/1/2012,17.8
513233,10/1/2012,28.92
515060,10/1/2012,43.92
513215,10/1/2012,19.56
513121,10/1/2012,18.9
512293,10/1/2012,27.3
513179,10/1/2012,18.9
512222,10/1/2012,23.11
512123,10/1/2012,12.84
512288,10/1/2012,38
512193,10/1/2012,9.5
512311,10/1/2012,17.96
512271,10/1/2012,21.16
513224,10/1/2012,14.8
515038,10/1/2012,21.8
512040,10/2/2012,14.14
512160,10/2/2012,10.16
512197,10/2/2012,12.2
513219,10/2/2012,22.52
512299,10/2/2012,20.31
518515,10/2/2012,12.13
512019,10/2/2012,14.9
512216,10/2/2012,14.14
518507,10/2/2012,8.86
512251,10/2/2012,10.6
512122,10/2/2012,10.82
512257,10/2/2012,20.2
512036,10/2/2012,10.51
512293,10/2/2012,18.33
512348,10/2/2012,22.84
515078,10/3/2012,40.82
515086,10/3/2012,36.95
515111,10/3/2012,47.26
515109,10/3/2012,47.26
515090,10/3/2012,37.8
512288,10/3/2012,36.34
513234,10/3/2012,27.2
513230,10/3/2012,22.82
